arch,case_name,length,window_runs,cycles_min,cycles_mean,cycles_max,mismatch_sum,error_status_count,run_ids
fir_pipe_systolic,impulse,1024,3,1297644,1297662.0,1297676,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,large_random_buffer,2048,3,1854209,1854228.333,1854251,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,multitone,2048,3,1391287,1391304.333,1391323,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,passband_edge_sine,1024,3,1806891,1806919.0,1806937,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,random_short,1024,3,1529163,1529179.667,1529205,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,step,1024,3,1158807,1158821.667,1158837,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,stopband_sine,1024,3,1575401,1575433.667,1575459,0,0,"20260330-112958,20260330-113315,20260330-113630"
fir_pipe_systolic,transition_sine,1024,3,1668051,1668055.667,1668059,0,0,"20260330-112958,20260330-113315,20260330-113630"
vendor_fir_ip,impulse,1024,3,1297627,1297658.0,1297687,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,large_random_buffer,2048,3,1854248,1854267.0,1854295,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,multitone,2048,3,1391307,1391321.667,1391332,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,passband_edge_sine,1024,3,1806908,1806924.333,1806948,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,random_short,1024,3,1529170,1529186.333,1529214,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,step,1024,3,1158816,1158825.667,1158843,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,stopband_sine,1024,3,1575448,1575465.0,1575498,0,0,"20260330-113137,20260330-113453,20260330-113805"
vendor_fir_ip,transition_sine,1024,3,1668043,1668051.667,1668068,0,0,"20260330-113137,20260330-113453,20260330-113805"
