design_id,design_group,method,order,taps,ap_target_db,stop_weight,weight_scale,ap_db,ast_db,coeff_csv
baseline_taps100__firpm__w1.439__ap0.010,baseline_taps100,firpm,99,100,0.01,1.43911552416211,0.25,0.469939641199541,34.5197867308903,"0.0112224280076640651,0.00333150384216167848,0.00195087575416541537,-0.000338223375941620191,-0.00267475762271278047,-0.00406635678490667972,-0.00383105376157375117,-0.00195332369975969103,0.000837880503323071638,0.00333681458263363449,0.00436003704420957067,0.00326447558116564965,0.000316518623678018959,-0.00327244770223320686,-0.00594678608146309226,-0.00633246228670548625,-0.00400409358260156792,0.000266295283458003323,0.0047143890984861752,0.00730062479506006501,0.00662254497098917726,0.00262663930134349188,-0.00321441471185046884,-0.00839990847943809446,-0.0104499540858572354,-0.00805263817356483003,-0.00177544729162668578,0.00593692290381945317,0.0116926668818253497,0.0125717597606773059,0.00753495182132973666,-0.00187049180521274908,-0.0118762464348739546,-0.0179076094584292855,-0.0165553394447705386,-0.00729461678201844162,0.00685355191493621993,0.0201195851875272218,0.0261104179846838452,0.0205525477267073653,0.00354727191109510242,-0.0196101926118420825,-0.0396020428177012163,-0.045994465543975141,-0.0309846348078505231,0.0073589730136600839,0.0636140357265973927,0.12595595514869018,0.17937007799022775,0.210148536847247325,0.210148536847247325,0.17937007799022775,0.12595595514869018,0.0636140357265973927,0.0073589730136600839,-0.0309846348078505231,-0.045994465543975141,-0.0396020428177012163,-0.0196101926118420825,0.00354727191109510242,0.0205525477267073653,0.0261104179846838452,0.0201195851875272218,0.00685355191493621993,-0.00729461678201844162,-0.0165553394447705386,-0.0179076094584292855,-0.0118762464348739546,-0.00187049180521274908,0.00753495182132973666,0.0125717597606773059,0.0116926668818253497,0.00593692290381945317,-0.00177544729162668578,-0.00805263817356483003,-0.0104499540858572354,-0.00839990847943809446,-0.00321441471185046884,0.00262663930134349188,0.00662254497098917726,0.00730062479506006501,0.0047143890984861752,0.000266295283458003323,-0.00400409358260156792,-0.00633246228670548625,-0.00594678608146309226,-0.00327244770223320686,0.000316518623678018959,0.00326447558116564965,0.00436003704420957067,0.00333681458263363449,0.000837880503323071638,-0.00195332369975969103,-0.00383105376157375117,-0.00406635678490667972,-0.00267475762271278047,-0.000338223375941620191,0.00195087575416541537,0.00333150384216167848,0.0112224280076640651"
baseline_taps100__firpm__w2.878__ap0.010,baseline_taps100,firpm,99,100,0.01,2.87823104832422,0.5,0.70299287124934,37.0476766837501,"0.00717072556663081537,-0.000358360445188608476,-0.00222011002654241146,-0.00458748708695336151,-0.00649788814056178991,-0.00704633041744480784,-0.00578013700688601376,-0.00295585270949974901,0.000484149193977568074,0.00324241871222763142,0.00419594614612420549,0.00290545098951875032,-0.000134692813495920424,-0.00362565898217302382,-0.00594979023344169387,-0.00585939915519338109,-0.00314985054794122456,0.00126369854543729662,0.00553815468859899206,0.00771075177002946213,0.00655969727040325509,0.00224826708081186152,-0.00359673582745013987,-0.0084648317496799387,-0.0100086334104090881,-0.0071315766635759387,-0.000624712078301286819,0.00696538161355888391,0.012283601278427831,0.0125983721694400367,0.00711953169100360515,-0.00241568516199557048,-0.0121671478189218866,-0.0176710784318867622,-0.0157461230478238498,-0.00611638043035453872,0.00802891155885841062,0.0209137646634547786,0.0263107547627881438,0.0202018531564913256,0.00292899335338977921,-0.0200933287495375611,-0.0396016871387569191,-0.0453746008843957521,-0.0298805171689668775,0.00860196443715078446,0.0645844861769191425,0.126361295244745153,0.179163803553312628,0.209550721149860786,0.209550721149860786,0.179163803553312628,0.126361295244745153,0.0645844861769191425,0.00860196443715078446,-0.0298805171689668775,-0.0453746008843957521,-0.0396016871387569191,-0.0200933287495375611,0.00292899335338977921,0.0202018531564913256,0.0263107547627881438,0.0209137646634547786,0.00802891155885841062,-0.00611638043035453872,-0.0157461230478238498,-0.0176710784318867622,-0.0121671478189218866,-0.00241568516199557048,0.00711953169100360515,0.0125983721694400367,0.012283601278427831,0.00696538161355888391,-0.000624712078301286819,-0.0071315766635759387,-0.0100086334104090881,-0.0084648317496799387,-0.00359673582745013987,0.00224826708081186152,0.00655969727040325509,0.00771075177002946213,0.00553815468859899206,0.00126369854543729662,-0.00314985054794122456,-0.00585939915519338109,-0.00594979023344169387,-0.00362565898217302382,-0.000134692813495920424,0.00290545098951875032,0.00419594614612420549,0.00324241871222763142,0.000484149193977568074,-0.00295585270949974901,-0.00578013700688601376,-0.00704633041744480784,-0.00649788814056178991,-0.00458748708695336151,-0.00222011002654241146,-0.000358360445188608476,0.00717072556663081537"
baseline_taps100__firpm__w5.756__ap0.010,baseline_taps100,firpm,99,100,0.01,5.75646209664843,1,0.9920314915529,40.000061165892,"0.00363001978298443679,-0.00328709086360453109,-0.00505462657369448905,-0.00710157767891485964,-0.00827790828476426647,-0.007789109308178244,-0.00545455688236872772,-0.00182440805899358868,0.00196349922587341335,0.00458198960880701247,0.00504313577395054842,0.00314874419138570696,-0.000345953093744213319,-0.0039643674729547395,-0.00607989411649613627,-0.00560945524579992312,-0.00253295006871082605,0.00200669447455718679,0.0061007140612545389,0.00784780102835162981,0.00619509794410185669,0.00155789419920322053,-0.00430942368392407075,-0.00886894531018102283,-0.00990585873703169438,-0.00654673162007931349,0.000196938776557067582,0.00766559754866492395,0.0125515081500252833,0.0123064470784398933,0.00637971569648585965,-0.00328212044816342252,-0.0127826265459554164,-0.0177571447955903773,-0.0152555721117699199,-0.00525669223209876413,0.0088855192095378642,0.0213923016578807107,0.0261968137322742337,0.0195362544005434936,0.00200498187807215998,-0.0208790744703342378,-0.0399010955848054447,-0.0450519240746169031,-0.0290717255434345991,0.00954624694272787969,0.0652564757381956656,0.126466813400319678,0.178657158240867198,0.208652917056514953,0.208652917056514953,0.178657158240867198,0.126466813400319678,0.0652564757381956656,0.00954624694272787969,-0.0290717255434345991,-0.0450519240746169031,-0.0399010955848054447,-0.0208790744703342378,0.00200498187807215998,0.0195362544005434936,0.0261968137322742337,0.0213923016578807107,0.0088855192095378642,-0.00525669223209876413,-0.0152555721117699199,-0.0177571447955903773,-0.0127826265459554164,-0.00328212044816342252,0.00637971569648585965,0.0123064470784398933,0.0125515081500252833,0.00766559754866492395,0.000196938776557067582,-0.00654673162007931349,-0.00990585873703169438,-0.00886894531018102283,-0.00430942368392407075,0.00155789419920322053,0.00619509794410185669,0.00784780102835162981,0.0061007140612545389,0.00200669447455718679,-0.00253295006871082605,-0.00560945524579992312,-0.00607989411649613627,-0.0039643674729547395,-0.000345953093744213319,0.00314874419138570696,0.00504313577395054842,0.00458198960880701247,0.00196349922587341335,-0.00182440805899358868,-0.00545455688236872772,-0.007789109308178244,-0.00827790828476426647,-0.00710157767891485964,-0.00505462657369448905,-0.00328709086360453109,0.00363001978298443679"
baseline_taps100__firpm__w11.513__ap0.010,baseline_taps100,firpm,99,100,0.01,11.5129241932969,2,1.31612075065897,43.6459619476187,"2.44257494373984217e-05,-0.00620650152042512369,-0.00720731504134755011,-0.00923481940781454604,-0.00974985617765575588,-0.00826862407732458296,-0.00495145727012002469,-0.000649573121397204216,0.00332149417908238643,0.00563935280727841017,0.00549232770949739397,0.00295341966949248368,-0.000964990408257484014,-0.00464380556095016737,-0.00647251959171719644,-0.00552771125210677235,-0.00201955255663358426,0.00270339121757760077,0.00664448665488669502,0.00797443287939691471,0.0058481519045004652,0.000870910564942864104,-0.00502166131315871008,-0.00928281463507989874,-0.00982500155082332433,-0.00599438086216456945,0.000981331233929879157,0.0083371494005164172,0.0128065642355767347,0.0120204992747390098,0.00566763676331056773,-0.00410976034836614892,-0.0133595018071415682,-0.0178260297628671932,-0.0147734847974470666,-0.00442443174994758444,0.00970293325689114937,0.0218400466872946016,0.0260660140828027943,0.0188806131220696574,0.00109492799814248673,-0.0216442062499436448,-0.0401917574617747381,-0.0447397727453645311,-0.0282893374639323937,0.0104602502502652954,0.0659030626893435806,0.126561748091844756,0.178156556974857799,0.20777232131634743,0.20777232131634743,0.178156556974857799,0.126561748091844756,0.0659030626893435806,0.0104602502502652954,-0.0282893374639323937,-0.0447397727453645311,-0.0401917574617747381,-0.0216442062499436448,0.00109492799814248673,0.0188806131220696574,0.0260660140828027943,0.0218400466872946016,0.00970293325689114937,-0.00442443174994758444,-0.0147734847974470666,-0.0178260297628671932,-0.0133595018071415682,-0.00410976034836614892,0.00566763676331056773,0.0120204992747390098,0.0128065642355767347,0.0083371494005164172,0.000981331233929879157,-0.00599438086216456945,-0.00982500155082332433,-0.00928281463507989874,-0.00502166131315871008,0.000870910564942864104,0.0058481519045004652,0.00797443287939691471,0.00664448665488669502,0.00270339121757760077,-0.00201955255663358426,-0.00552771125210677235,-0.00647251959171719644,-0.00464380556095016737,-0.000964990408257484014,0.00295341966949248368,0.00549232770949739397,0.00563935280727841017,0.00332149417908238643,-0.000649573121397204216,-0.00495145727012002469,-0.00826862407732458296,-0.00974985617765575588,-0.00923481940781454604,-0.00720731504134755011,-0.00620650152042512369,2.44257494373984217e-05"
baseline_taps100__firpm__w23.026__ap0.010,baseline_taps100,firpm,99,100,0.01,23.0258483865937,4,1.69529891900493,47.4407073053639,"-0.00446007492159795904,-0.00600084182856935357,-0.00822715349941447252,-0.00927131976602174786,-0.00843079749207835752,-0.00550907739567321666,-0.000985494170356444833,0.00402132236174043613,0.00807446899747494423,0.00991804832099722408,0.00896932064647399004,0.00560868087510696649,0.00112402720520589361,-0.00271606448726343557,-0.00432916739084619577,-0.00297124538678031173,0.0009010483203198904,0.00573535173822419236,0.00945472072662970585,0.0103002619414797221,0.00761523302938177903,0.00222834200869304186,-0.00376927519963508786,-0.00781543526408205562,-0.0079487592534550882,-0.00372617812905200792,0.00342421781184506016,0.0106261088547872501,0.0146549586449258463,0.013313310773991345,0.00651573550239095255,-0.00341851227365895126,-0.0124809437323632165,-0.0165075971751984449,-0.0129752020622798947,-0.00233048201273950567,0.0117676673811687362,0.0235364867646194915,0.0272129417246979727,0.0195158989067989036,0.00147878702161480594,-0.0211510673625679609,-0.0392786225133909955,-0.0432832542246425894,-0.0264088813528718103,0.0124550161637297426,0.0676492262024187829,0.12780209493672734,0.178851579744244094,0.208118497190064838,0.208118497190064838,0.178851579744244094,0.12780209493672734,0.0676492262024187829,0.0124550161637297426,-0.0264088813528718103,-0.0432832542246425894,-0.0392786225133909955,-0.0211510673625679609,0.00147878702161480594,0.0195158989067989036,0.0272129417246979727,0.0235364867646194915,0.0117676673811687362,-0.00233048201273950567,-0.0129752020622798947,-0.0165075971751984449,-0.0124809437323632165,-0.00341851227365895126,0.00651573550239095255,0.013313310773991345,0.0146549586449258463,0.0106261088547872501,0.00342421781184506016,-0.00372617812905200792,-0.0079487592534550882,-0.00781543526408205562,-0.00376927519963508786,0.00222834200869304186,0.00761523302938177903,0.0103002619414797221,0.00945472072662970585,0.00573535173822419236,0.0009010483203198904,-0.00297124538678031173,-0.00432916739084619577,-0.00271606448726343557,0.00112402720520589361,0.00560868087510696649,0.00896932064647399004,0.00991804832099722408,0.00807446899747494423,0.00402132236174043613,-0.000985494170356444833,-0.00550907739567321666,-0.00843079749207835752,-0.00927131976602174786,-0.00822715349941447252,-0.00600084182856935357,-0.00446007492159795904"
baseline_taps100__firpm__w46.052__ap0.010,baseline_taps100,firpm,99,100,0.01,46.0516967731875,8,2.38244808026841,50.4020312043323,"-0.00267058897125638283,-0.00265520289072088437,-0.00262067628985910694,-0.00119603386838999272,0.00185350314247743463,0.00622090361695522721,0.0110285424899867566,0.014985964511726093,0.0168003671224348228,0.0156350187497427129,0.0114999015403084437,0.00538299317104940986,-0.000982708266297557462,-0.00566073860421829889,-0.00720588100641919062,-0.00523642782497579611,-0.000652875996937017341,0.00462141217671581742,0.00833286459782784164,0.00877644634893223752,0.00552596466302783963,-0.000303647143798841041,-0.00641088959351775699,-0.0101833602807849914,-0.00978358464243681697,-0.00500421925690758881,0.00248722890201964449,0.00967890240021080164,0.0133743505493319498,0.0115500700331670203,0.00435994162064691233,-0.00567989774274500151,-0.0144939470194574739,-0.0180103454021966827,-0.0139172446746546954,-0.00289735655133259527,0.0112350690528657642,0.022691731077166117,0.0258571098962434784,0.0176854296580752114,-0.000569729126731733336,-0.0230539033806783367,-0.040726144932864014,-0.0441576431680313006,-0.0268383077687493234,0.0121503741135209863,0.0670949825694136109,0.126731789688494217,0.177223120488734953,0.206132942048865897,0.206132942048865897,0.177223120488734953,0.126731789688494217,0.0670949825694136109,0.0121503741135209863,-0.0268383077687493234,-0.0441576431680313006,-0.040726144932864014,-0.0230539033806783367,-0.000569729126731733336,0.0176854296580752114,0.0258571098962434784,0.022691731077166117,0.0112350690528657642,-0.00289735655133259527,-0.0139172446746546954,-0.0180103454021966827,-0.0144939470194574739,-0.00567989774274500151,0.00435994162064691233,0.0115500700331670203,0.0133743505493319498,0.00967890240021080164,0.00248722890201964449,-0.00500421925690758881,-0.00978358464243681697,-0.0101833602807849914,-0.00641088959351775699,-0.000303647143798841041,0.00552596466302783963,0.00877644634893223752,0.00833286459782784164,0.00462141217671581742,-0.000652875996937017341,-0.00523642782497579611,-0.00720588100641919062,-0.00566073860421829889,-0.000982708266297557462,0.00538299317104940986,0.0114999015403084437,0.0156350187497427129,0.0168003671224348228,0.014985964511726093,0.0110285424899867566,0.00622090361695522721,0.00185350314247743463,-0.00119603386838999272,-0.00262067628985910694,-0.00265520289072088437,-0.00267058897125638283"
baseline_taps100__firpm__w92.103__ap0.010,baseline_taps100,firpm,99,100,0.01,92.1033935463749,16,3.17658375760273,54.0640777752531,"-0.00123195285220777497,-5.56306709178400367e-05,0.00151653118716897324,0.0044756547230401008,0.00864547013229980191,0.0133437949097524877,0.0174547538582229406,0.0197039382223262935,0.0190692329466778665,0.0152060091496851128,0.00870973181041074379,0.00106293053461809167,-0.00572412716549169573,-0.00975289642980992424,-0.00989891160807072554,-0.00628152997970876734,-0.000315445560010207179,0.0057148806095706807,0.00945177681560601703,0.00935104723182787409,0.00532322035668126355,-0.00114288205140175765,-0.00748126632671639383,-0.0110145361171085556,-0.0100475564242942586,-0.00464473323946703806,0.00324952719041513103,0.0104616700329775367,0.0138089386313087602,0.0114433051276994508,0.00377188645882909008,-0.0064726565503513047,-0.0151269875144898654,-0.0181971975886412729,-0.0135756195065907144,-0.00218409837922630768,0.0119973156179642004,0.0231601732051539971,0.0258223183222141342,0.0171636631148121138,-0.00134574091870467635,-0.0237390824475299037,-0.0410166258536046324,-0.0439253540973039563,-0.0261874035325178715,0.0129302046488614514,0.0676565820577289534,0.126824801507351287,0.17680414736819336,0.205385261261713609,0.205385261261713609,0.17680414736819336,0.126824801507351287,0.0676565820577289534,0.0129302046488614514,-0.0261874035325178715,-0.0439253540973039563,-0.0410166258536046324,-0.0237390824475299037,-0.00134574091870467635,0.0171636631148121138,0.0258223183222141342,0.0231601732051539971,0.0119973156179642004,-0.00218409837922630768,-0.0135756195065907144,-0.0181971975886412729,-0.0151269875144898654,-0.0064726565503513047,0.00377188645882909008,0.0114433051276994508,0.0138089386313087602,0.0104616700329775367,0.00324952719041513103,-0.00464473323946703806,-0.0100475564242942586,-0.0110145361171085556,-0.00748126632671639383,-0.00114288205140175765,0.00532322035668126355,0.00935104723182787409,0.00945177681560601703,0.0057148806095706807,-0.000315445560010207179,-0.00628152997970876734,-0.00989891160807072554,-0.00975289642980992424,-0.00572412716549169573,0.00106293053461809167,0.00870973181041074379,0.0152060091496851128,0.0190692329466778665,0.0197039382223262935,0.0174547538582229406,0.0133437949097524877,0.00864547013229980191,0.0044756547230401008,0.00151653118716897324,-5.56306709178400367e-05,-0.00123195285220777497"
baseline_taps100__firpm__w7.196__ap0.050,baseline_taps100,firpm,99,100,0.05,7.19555854576418,0.25,1.0929060863744,41.0819089295858,"0.00251404746407798366,-0.00421909207918279381,-0.00584147500913612897,-0.00779860742430424445,-0.0087597811633997498,-0.00795614559993930263,-0.00530045531148869327,-0.00144126217059771826,0.00241887018585345507,0.00495079972845693852,0.00521990515309954384,0.0031167462578861431,-0.000519900775751335788,-0.0041662052837844769,-0.00619876280960488663,-0.00558322981008586416,-0.00237158527780656665,0.00222371426416649587,0.00626581223709222167,0.00787800375641384797,0.00608309373608824713,0.00133295140256745742,-0.0045407863674830299,-0.00899335920166660814,-0.00987474755276961103,-0.00635949305012260303,0.000461760492198466307,0.00789318635578493966,0.0126414520964939041,0.0122181273462307304,0.00615251215891089893,-0.00354870011354511267,-0.0129683004325378756,-0.0177784464476989298,-0.0150987398282118931,-0.00498557003150432946,0.00915395002577221867,0.0215389326312563252,0.0261543640559040377,0.0193221405578219013,0.00170275837738364123,-0.0211352371086883581,-0.0400034048041539927,-0.0449554571071371298,-0.0288191410720555485,0.00984246507248214865,0.0654679189504136505,0.126495810601370468,0.178490134742722156,0.208360038504318695,0.208360038504318695,0.178490134742722156,0.126495810601370468,0.0654679189504136505,0.00984246507248214865,-0.0288191410720555485,-0.0449554571071371298,-0.0400034048041539927,-0.0211352371086883581,0.00170275837738364123,0.0193221405578219013,0.0261543640559040377,0.0215389326312563252,0.00915395002577221867,-0.00498557003150432946,-0.0150987398282118931,-0.0177784464476989298,-0.0129683004325378756,-0.00354870011354511267,0.00615251215891089893,0.0122181273462307304,0.0126414520964939041,0.00789318635578493966,0.000461760492198466307,-0.00635949305012260303,-0.00987474755276961103,-0.00899335920166660814,-0.0045407863674830299,0.00133295140256745742,0.00608309373608824713,0.00787800375641384797,0.00626581223709222167,0.00222371426416649587,-0.00237158527780656665,-0.00558322981008586416,-0.00619876280960488663,-0.0041662052837844769,-0.000519900775751335788,0.0031167462578861431,0.00521990515309954384,0.00495079972845693852,0.00241887018585345507,-0.00144126217059771826,-0.00530045531148869327,-0.00795614559993930263,-0.0087597811633997498,-0.00779860742430424445,-0.00584147500913612897,-0.00421909207918279381,0.00251404746407798366"
baseline_taps100__firpm__w14.391__ap0.050,baseline_taps100,firpm,99,100,0.05,14.3911170915284,0.5,1.42030687700306,44.8884210006828,"-0.00137344481978157978,-0.00703645837090080464,-0.00762200002763495886,-0.0100412931856771019,-0.0101634089185513709,-0.00838484534688440156,-0.00476169448042158133,-0.000276078800524491878,0.00372677817496551477,0.00592942203894920427,0.00558049825144030058,0.00283859520119478887,-0.00120642396735718142,-0.00488998846516345773,-0.00661199163373220843,-0.00550436190470379987,-0.00185541821997444465,0.00292553529632418215,0.0068185819304474888,0.00801940504072893266,0.0057391777022013056,0.000656118348974210445,-0.00524274283158587297,-0.00940759816714215047,-0.00979537186788907374,-0.00581877258587103208,0.00123207111451519979,0.00855201298145392974,0.0128881610816860333,0.01193160022369762,0.00544695773444032159,-0.00437067449415521822,-0.0135502898182889055,-0.0178591927418899482,-0.0146356703337897007,-0.00417663385513765591,0.00995939888597310342,0.0219862659314200362,0.0260425059532786857,0.0186934001983169278,0.000829368350811555619,-0.0218760791697138121,-0.0402828044525977702,-0.0446523214945071939,-0.0280599420467260822,0.0107289377225472035,0.0660946618245529943,0.126591805372893662,0.17801340724896092,0.207515658779211631,0.207515658779211631,0.17801340724896092,0.126591805372893662,0.0660946618245529943,0.0107289377225472035,-0.0280599420467260822,-0.0446523214945071939,-0.0402828044525977702,-0.0218760791697138121,0.000829368350811555619,0.0186934001983169278,0.0260425059532786857,0.0219862659314200362,0.00995939888597310342,-0.00417663385513765591,-0.0146356703337897007,-0.0178591927418899482,-0.0135502898182889055,-0.00437067449415521822,0.00544695773444032159,0.01193160022369762,0.0128881610816860333,0.00855201298145392974,0.00123207111451519979,-0.00581877258587103208,-0.00979537186788907374,-0.00940759816714215047,-0.00524274283158587297,0.000656118348974210445,0.0057391777022013056,0.00801940504072893266,0.0068185819304474888,0.00292553529632418215,-0.00185541821997444465,-0.00550436190470379987,-0.00661199163373220843,-0.00488998846516345773,-0.00120642396735718142,0.00283859520119478887,0.00558049825144030058,0.00592942203894920427,0.00372677817496551477,-0.000276078800524491878,-0.00476169448042158133,-0.00838484534688440156,-0.0101634089185513709,-0.0100412931856771019,-0.00762200002763495886,-0.00703645837090080464,-0.00137344481978157978"
baseline_taps100__firpm__w28.782__ap0.050,baseline_taps100,firpm,99,100,0.05,28.7822341830567,1,1.90032110213541,48.3598582594687,"-0.00382699244213513361,-0.00478163230050990349,-0.00613645760514544038,-0.00618613976451718502,-0.00437975838834144243,-0.000704674305651151276,0.00420245821823070093,0.00913744079099273153,0.0126732545543409465,0.0136609174794822714,0.0116953761688081866,0.00735374634876624113,0.00208163494434159728,-0.00227423686531577976,-0.00414380549960746344,-0.0028683871519169582,0.000975787547046490233,0.00573071188123695525,0.00926725235898608925,0.00984143230429975965,0.0068620504657914555,0.00123867429976231625,-0.00487844233732037842,-0.00891514751187529736,-0.0089506592239755739,-0.00461732002087194768,0.00258126674236931579,0.00972816342807351214,0.0136103984875070513,0.0120866706152416119,0.00514601093276014724,-0.00483212312467178311,-0.0138199141696547494,-0.0176851674180280131,-0.013975153099380036,-0.00321470969582834118,0.0108870233591779088,0.0225471330650343187,0.0260518640625353667,0.01819704013402524,8.75570346056423962e-05,-0.0224946118573203062,-0.0404726695441913892,-0.0442896828056295946,-0.0272704203495083147,0.0116333549952589346,0.066745491141234542,0.126729725943667437,0.177596849243525035,0.206747009746709232,0.206747009746709232,0.177596849243525035,0.126729725943667437,0.066745491141234542,0.0116333549952589346,-0.0272704203495083147,-0.0442896828056295946,-0.0404726695441913892,-0.0224946118573203062,8.75570346056423962e-05,0.01819704013402524,0.0260518640625353667,0.0225471330650343187,0.0108870233591779088,-0.00321470969582834118,-0.013975153099380036,-0.0176851674180280131,-0.0138199141696547494,-0.00483212312467178311,0.00514601093276014724,0.0120866706152416119,0.0136103984875070513,0.00972816342807351214,0.00258126674236931579,-0.00461732002087194768,-0.0089506592239755739,-0.00891514751187529736,-0.00487844233732037842,0.00123867429976231625,0.0068620504657914555,0.00984143230429975965,0.00926725235898608925,0.00573071188123695525,0.000975787547046490233,-0.0028683871519169582,-0.00414380549960746344,-0.00227423686531577976,0.00208163494434159728,0.00735374634876624113,0.0116953761688081866,0.0136609174794822714,0.0126732545543409465,0.00913744079099273153,0.00420245821823070093,-0.000704674305651151276,-0.00437975838834144243,-0.00618613976451718502,-0.00613645760514544038,-0.00478163230050990349,-0.00382699244213513361"
